날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-05-01,108,10.2,8.5,15.3
2021-05-02,108,12.4,7.3,18.7
2021-05-03,108,14.1,8.4,20.3
2021-05-04,108,13.8,11.4,15.8
2021-05-05,108,13.9,10.3,18.4
2021-05-06,108,15.7,7.9,23.1
2021-05-07,108,14.4,10.7,17.2
2021-05-08,108,14.3,8.9,21
2021-05-09,108,15.7,10,21.8
2021-05-10,108,13.2,11.7,14.6
2021-05-11,108,18.5,9.4,25.7
2021-05-12,108,22,16.9,27.7
2021-05-13,108,22.9,16.6,29.6
2021-05-14,108,24.1,18,30.8
2021-05-15,108,22.1,20.8,26.2
2021-05-16,108,18.4,14.8,20.8
2021-05-17,108,15.3,14.2,16.7
2021-05-18,108,17.9,13.6,24.5
2021-05-19,108,19.9,12.4,26.6
2021-05-20,108,18.7,15.6,22.9
2021-05-21,108,16,14.2,18.2
2021-05-22,108,18.6,13.8,23.8
2021-05-23,108,19.5,14.3,25.1
2021-05-24,108,19.4,16.4,24.5
2021-05-25,108,15.3,11.9,19.3
2021-05-26,108,18,11.5,23
2021-05-27,108,15.8,13.9,18.7
2021-05-28,108,15.3,12.4,19.7
2021-05-29,108,15.4,12.8,19.1
2021-05-30,108,18.4,10.8,26.3
2021-05-31,108,19.9,16.5,23.8
