날짜,종가,오픈,고가,저가,거래량
2020년 01월 02일,55.2,55.5,56,55,12760
2020년 01월 03일,55.5,56,56.6,54.9,15310
2020년 01월 05일,55.5,55.5,55.5,55.5,0
2020년 01월 06일,55.5,54.9,55.6,54.6,10240
2020년 01월 07일,55.8,55.7,56.4,55.6,9890
2020년 01월 08일,56.8,56.2,57.4,55.9,23330
2020년 01월 09일,58.6,58.4,58.6,57.4,23230
2020년 01월 10일,59.5,58.8,59.7,58.3,15830
2020년 01월 12일,59.5,59.5,59.5,59.5,0
2020년 01월 13일,60,59.6,60,59.1,11260
2020년 01월 14일,60,60.4,61,59.9,16080
2020년 01월 15일,59,59.5,59.6,58.9,13720
2020년 01월 16일,60.7,59.1,60.7,59,13560
2020년 01월 17일,61.3,61.9,62,61,15450
2020년 01월 19일,61.3,61.3,61.3,61.3,0
2020년 01월 20일,62.4,62,62.8,61.7,12460
2020년 01월 21일,61.4,62,62.4,61.2,11110
2020년 01월 22일,62.3,60.5,62.6,60.4,15050
2020년 01월 23일,60.8,61.8,61.8,60.7,14880
2020년 01월 27일,60.8,60.8,60.8,60.8,0
2020년 01월 28일,58.8,59.4,59.4,58.3,22630
2020년 01월 29일,59.1,59.1,59.7,58.8,16260
2020년 01월 30일,57.2,58.8,58.8,56.8,20720
2020년 01월 31일,56.4,57.8,58.4,56.4,19490
2020년 02월 02일,56.4,56.4,56.4,56.4,0
2020년 02월 03일,57.2,55.5,57.4,55.2,22910
2020년 02월 04일,58.9,57.1,59,56.8,21100
2020년 02월 05일,59.5,60,60.2,58.9,18190
2020년 02월 06일,61.1,60.1,61.1,59.7,14680
2020년 02월 07일,60.4,61.1,61.2,59.7,16270
2020년 02월 09일,60.4,60.4,60.4,60.4,0
2020년 02월 10일,59.7,59.2,59.8,59.1,12690
2020년 02월 11일,59.9,59.8,60.7,59.7,10950
2020년 02월 12일,60.5,60.3,60.7,59.7,12730
2020년 02월 13일,60.7,61.2,61.6,60.5,18340
2020년 02월 14일,61.8,60.9,61.9,60.2,13260
2020년 02월 16일,61.8,61.8,61.8,61.8,0
2020년 02월 17일,61.5,61.6,62,61.2,8490
2020년 02월 18일,59.8,60.8,60.9,59.7,16630
2020년 02월 19일,60.2,59.8,60.4,59.4,12940
2020년 02월 20일,60,60.7,61.3,59.6,14510
2020년 02월 21일,59.2,58.8,59.8,58.5,13280
2020년 02월 23일,59.2,59.2,59.2,59.2,0
2020년 02월 24일,56.8,57.4,58.1,56.8,25360
2020년 02월 25일,57.9,56.2,58,56.2,23070
2020년 02월 26일,56.5,56,57,56,25380
2020년 02월 27일,55.9,56.3,56.9,55.5,22360
2020년 02월 28일,54.2,55,55.5,54.2,29910
2020년 03월 01일,54.2,54.2,54.2,54.2,0
2020년 03월 02일,55,54.3,55.5,53.6,29210
2020년 03월 03일,55.4,56.7,56.9,55.1,29810
2020년 03월 04일,57.4,54.8,57.6,54.6,24320
2020년 03월 05일,57.8,57.6,58,56.7,21660
2020년 03월 06일,56.5,56.5,57.2,56.2,18590
2020년 03월 08일,56.5,56.5,56.5,56.5,0
2020년 03월 09일,54.2,54.7,55,53.6,30010
2020년 03월 10일,54.6,53.8,54.9,53.7,31330
2020년 03월 11일,52.1,54.3,54.4,52,37830
2020년 03월 12일,50.8,51,51.9,49.3,47900
2020년 03월 13일,49.95,47.45,51.6,46.85,58330
2020년 03월 15일,49.95,49.95,49.95,49.95,0
2020년 03월 16일,48.9,50.1,50.9,48.8,33060
2020년 03월 17일,47.3,46.9,49.65,46.7,50590
2020년 03월 18일,45.6,47.75,48.35,45.6,38150
2020년 03월 19일,42.95,46.5,46.6,42.3,0.64
2020년 03월 20일,45.4,44.15,45.5,43.55,49160
2020년 03월 22일,45.4,45.4,45.4,45.4,0
2020년 03월 23일,42.5,42.6,43.55,42.4,29.15
2020년 03월 24일,46.95,43.8,46.95,43.1,0.89
2020년 03월 25일,48.65,48.95,49.6,47.15,45.01
2020년 03월 26일,47.8,48.95,49.3,47.75,3.39
2020년 03월 27일,48.3,49.6,49.7,46.85,39730
2020년 03월 29일,48.3,48.3,48.3,48.3,0
2020년 03월 30일,47.85,47.05,48.35,46.55,26670
2020년 03월 31일,47.75,48,48.5,47.15,30480
